defaultBuiltInRoles,description,mode,name,signature
"[editor,publisher,architect,admin]",Eigenvector Centrality measures the transitive influence or connectivity of nodes.,WRITE,gds.alpha.eigenvector.write,"gds.alpha.eigenvector.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, iterations :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, dampingFactor :: FLOAT?, writeProperty :: STRING?, centralityDistribution :: MAP?)"
"[reader,editor,publisher,architect,admin]",Hyperlink-Induced Topic Search (HITS) is a link analysis algorithm that rates nodes,READ,gds.alpha.hits.mutate,"gds.alpha.hits.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (nodePropertiesWritten :: INTEGER?, ranIterations :: INTEGER?, didConverge :: BOOLEAN?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.alpha.hits.mutate.estimate,"gds.alpha.hits.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Hyperlink-Induced Topic Search (HITS) is a link analysis algorithm that rates nodes,READ,gds.alpha.hits.stats,"gds.alpha.hits.stats(graphName :: ANY?, configuration = {} :: MAP?) :: (ranIterations :: INTEGER?, didConverge :: BOOLEAN?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.alpha.hits.stats.estimate,"gds.alpha.hits.stats.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Hyperlink-Induced Topic Search (HITS) is a link analysis algorithm that rates nodes,READ,gds.alpha.hits.stream,"gds.alpha.hits.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, values :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.alpha.hits.stream.estimate,"gds.alpha.hits.stream.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]",Hyperlink-Induced Topic Search (HITS) is a link analysis algorithm that rates nodes,WRITE,gds.alpha.hits.write,"gds.alpha.hits.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodePropertiesWritten :: INTEGER?, ranIterations :: INTEGER?, didConverge :: BOOLEAN?, writeMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.alpha.hits.write.estimate,"gds.alpha.hits.write.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The Approximate Nearest Neighbors algorithm constructs a k-Nearest Neighbors graph for a set of objects based on a provided similarity function.,READ,gds.alpha.ml.ann.stream,"gds.alpha.ml.ann.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (item1 :: INTEGER?, item2 :: INTEGER?, count1 :: INTEGER?, count2 :: INTEGER?, intersection :: INTEGER?, similarity :: FLOAT?, bidirectional :: BOOLEAN?, reversed :: BOOLEAN?)"
"[editor,publisher,architect,admin]",The Approximate Nearest Neighbors algorithm constructs a k-Nearest Neighbors graph for a set of objects based on a provided similarity function.,WRITE,gds.alpha.ml.ann.write,"gds.alpha.ml.ann.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, similarityPairs :: INTEGER?, computations :: INTEGER?, writeRelationshipType :: STRING?, writeProperty :: STRING?, min :: FLOAT?, max :: FLOAT?, mean :: FLOAT?, stdDev :: FLOAT?, p25 :: FLOAT?, p50 :: FLOAT?, p75 :: FLOAT?, p90 :: FLOAT?, p95 :: FLOAT?, p99 :: FLOAT?, p999 :: FLOAT?, p100 :: FLOAT?, iterations :: INTEGER?, scanRate :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Predicts relationships for all node pairs based on a previously trained link prediction model,READ,gds.alpha.ml.linkPrediction.predict.mutate,"gds.alpha.ml.linkPrediction.predict.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (relationshipsWritten :: INTEGER?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Trains a link prediction model,READ,gds.alpha.ml.linkPrediction.train,"gds.alpha.ml.linkPrediction.train(graphName :: ANY?, configuration = {} :: MAP?) :: (trainMillis :: INTEGER?, modelInfo :: MAP?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Predicts classes for all nodes based on a previously trained model,READ,gds.alpha.ml.nodeClassification.predict.mutate,"gds.alpha.ml.nodeClassification.predict.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (nodePropertiesWritten :: INTEGER?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Trains a node classification model,READ,gds.alpha.ml.nodeClassification.train,"gds.alpha.ml.nodeClassification.train(graphName :: ANY?, configuration = {} :: MAP?) :: (trainMillis :: INTEGER?, modelInfo :: MAP?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Splits a graph into holdout and remaining relationship types and adds them to the in-memory graph.,READ,gds.alpha.ml.splitRelationships.mutate,"gds.alpha.ml.splitRelationships.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, mutateMillis :: INTEGER?, relationshipsWritten :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Deletes a stored model from disk.,READ,gds.alpha.model.delete,"gds.alpha.model.delete(modelName :: STRING?) :: (modelName :: STRING?, deleteMillis :: INTEGER?)"
"[reader,editor,publisher,architect,admin]",Load a stored model into main memory.,READ,gds.alpha.model.load,"gds.alpha.model.load(modelName :: STRING?) :: (modelName :: STRING?, loadMillis :: INTEGER?)"
"[reader,editor,publisher,architect,admin]",Make a trained model accessible by all users,READ,gds.alpha.model.publish,"gds.alpha.model.publish(modelName :: STRING?) :: (modelInfo :: MAP?, trainConfig :: MAP?, graphSchema :: MAP?, loaded :: BOOLEAN?, stored :: BOOLEAN?, creationTime :: DATETIME?, shared :: BOOLEAN?)"
"[reader,editor,publisher,architect,admin]",Store the selected model to disk.,READ,gds.alpha.model.store,"gds.alpha.model.store(modelName :: STRING?) :: (modelName :: STRING?, storeMillis :: INTEGER?)"
"[reader,editor,publisher,architect,admin]",The Node2Vec algorithm computes embeddings for nodes based on random walks.,READ,gds.alpha.node2vec.stream,"gds.alpha.node2vec.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, embedding :: LIST? OF FLOAT?)"
"[editor,publisher,architect,admin]",The Node2Vec algorithm computes embeddings for nodes based on random walks.,WRITE,gds.alpha.node2vec.write,"gds.alpha.node2vec.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeCount :: INTEGER?, nodePropertiesWritten :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Random Walk is an algorithm that provides random paths in a graph. It’s similar to how a drunk person traverses a city.,READ,gds.alpha.randomWalk.stream,"gds.alpha.randomWalk.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (startNodeId :: INTEGER?, nodeIds :: LIST? OF INTEGER?, path :: PATH?)"
"[reader,editor,publisher,architect,admin]",Normalize node properties,DEFAULT,gds.alpha.scaleProperties.mutate,"gds.alpha.scaleProperties.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (nodePropertiesWritten :: INTEGER?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]","The SCC algorithm finds sets of connected nodes in an directed graph, where all nodes in the same set form a connected component.",READ,gds.alpha.scc.stream,"gds.alpha.scc.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, componentId :: INTEGER?)"
"[editor,publisher,architect,admin]","The SCC algorithm finds sets of connected nodes in an directed graph, where all nodes in the same set form a connected component.",WRITE,gds.alpha.scc.write,"gds.alpha.scc.write(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, postProcessingMillis :: INTEGER?, nodes :: INTEGER?, communityCount :: INTEGER?, setCount :: INTEGER?, minSetSize :: INTEGER?, maxSetSize :: INTEGER?, p1 :: INTEGER?, p5 :: INTEGER?, p10 :: INTEGER?, p25 :: INTEGER?, p50 :: INTEGER?, p75 :: INTEGER?, p90 :: INTEGER?, p95 :: INTEGER?, p99 :: INTEGER?, p100 :: INTEGER?, writeProperty :: STRING?)"
"[reader,editor,publisher,architect,admin]",Delta-Stepping is a non-negative single source shortest paths (NSSSP) algorithm.,READ,gds.alpha.shortestPath.deltaStepping.stream,"gds.alpha.shortestPath.deltaStepping.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, distance :: FLOAT?)"
"[editor,publisher,architect,admin]",Delta-Stepping is a non-negative single source shortest paths (NSSSP) algorithm.,WRITE,gds.alpha.shortestPath.deltaStepping.write,"gds.alpha.shortestPath.deltaStepping.write(graphName :: ANY?, configuration = {} :: MAP?) :: (loadDuration :: INTEGER?, evalDuration :: INTEGER?, writeDuration :: INTEGER?, nodeCount :: INTEGER?)"
"[reader,editor,publisher,architect,admin]",Cosine-similarity is an algorithm for finding similar nodes based on the cosine similarity metric.,READ,gds.alpha.similarity.cosine.stats,"gds.alpha.similarity.cosine.stats(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, sourceNodes :: INTEGER?, targetNodes :: INTEGER?, similarityPairs :: INTEGER?, computations :: INTEGER?, min :: FLOAT?, max :: FLOAT?, mean :: FLOAT?, stdDev :: FLOAT?, p25 :: FLOAT?, p50 :: FLOAT?, p75 :: FLOAT?, p90 :: FLOAT?, p95 :: FLOAT?, p99 :: FLOAT?, p999 :: FLOAT?, p100 :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Cosine-similarity is an algorithm for finding similar nodes based on the cosine similarity metric.,READ,gds.alpha.similarity.cosine.stream,"gds.alpha.similarity.cosine.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (item1 :: INTEGER?, item2 :: INTEGER?, count1 :: INTEGER?, count2 :: INTEGER?, intersection :: INTEGER?, similarity :: FLOAT?, bidirectional :: BOOLEAN?, reversed :: BOOLEAN?)"
"[editor,publisher,architect,admin]",Cosine-similarity is an algorithm for finding similar nodes based on the cosine similarity metric.,WRITE,gds.alpha.similarity.cosine.write,"gds.alpha.similarity.cosine.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, sourceNodes :: INTEGER?, targetNodes :: INTEGER?, similarityPairs :: INTEGER?, computations :: INTEGER?, writeRelationshipType :: STRING?, writeProperty :: STRING?, min :: FLOAT?, max :: FLOAT?, mean :: FLOAT?, stdDev :: FLOAT?, p25 :: FLOAT?, p50 :: FLOAT?, p75 :: FLOAT?, p90 :: FLOAT?, p95 :: FLOAT?, p99 :: FLOAT?, p999 :: FLOAT?, p100 :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Euclidean-similarity is an algorithm for finding similar nodes based on the euclidean distance.,READ,gds.alpha.similarity.euclidean.stats,"gds.alpha.similarity.euclidean.stats(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, sourceNodes :: INTEGER?, targetNodes :: INTEGER?, similarityPairs :: INTEGER?, computations :: INTEGER?, min :: FLOAT?, max :: FLOAT?, mean :: FLOAT?, stdDev :: FLOAT?, p25 :: FLOAT?, p50 :: FLOAT?, p75 :: FLOAT?, p90 :: FLOAT?, p95 :: FLOAT?, p99 :: FLOAT?, p999 :: FLOAT?, p100 :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Euclidean-similarity is an algorithm for finding similar nodes based on the euclidean distance.,READ,gds.alpha.similarity.euclidean.stream,"gds.alpha.similarity.euclidean.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (item1 :: INTEGER?, item2 :: INTEGER?, count1 :: INTEGER?, count2 :: INTEGER?, intersection :: INTEGER?, similarity :: FLOAT?, bidirectional :: BOOLEAN?, reversed :: BOOLEAN?)"
"[editor,publisher,architect,admin]",Euclidean-similarity is an algorithm for finding similar nodes based on the euclidean distance.,WRITE,gds.alpha.similarity.euclidean.write,"gds.alpha.similarity.euclidean.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, sourceNodes :: INTEGER?, targetNodes :: INTEGER?, similarityPairs :: INTEGER?, computations :: INTEGER?, writeRelationshipType :: STRING?, writeProperty :: STRING?, min :: FLOAT?, max :: FLOAT?, mean :: FLOAT?, stdDev :: FLOAT?, p25 :: FLOAT?, p50 :: FLOAT?, p75 :: FLOAT?, p90 :: FLOAT?, p95 :: FLOAT?, p99 :: FLOAT?, p999 :: FLOAT?, p100 :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Overlap-similarity is an algorithm for finding similar nodes based on the overlap coefficient.,READ,gds.alpha.similarity.overlap.stats,"gds.alpha.similarity.overlap.stats(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, sourceNodes :: INTEGER?, targetNodes :: INTEGER?, similarityPairs :: INTEGER?, computations :: INTEGER?, min :: FLOAT?, max :: FLOAT?, mean :: FLOAT?, stdDev :: FLOAT?, p25 :: FLOAT?, p50 :: FLOAT?, p75 :: FLOAT?, p90 :: FLOAT?, p95 :: FLOAT?, p99 :: FLOAT?, p999 :: FLOAT?, p100 :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Overlap-similarity is an algorithm for finding similar nodes based on the overlap coefficient.,READ,gds.alpha.similarity.overlap.stream,"gds.alpha.similarity.overlap.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (item1 :: INTEGER?, item2 :: INTEGER?, count1 :: INTEGER?, count2 :: INTEGER?, intersection :: INTEGER?, similarity :: FLOAT?, bidirectional :: BOOLEAN?, reversed :: BOOLEAN?)"
"[editor,publisher,architect,admin]",Overlap-similarity is an algorithm for finding similar nodes based on the overlap coefficient.,WRITE,gds.alpha.similarity.overlap.write,"gds.alpha.similarity.overlap.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, sourceNodes :: INTEGER?, targetNodes :: INTEGER?, similarityPairs :: INTEGER?, computations :: INTEGER?, writeRelationshipType :: STRING?, writeProperty :: STRING?, min :: FLOAT?, max :: FLOAT?, mean :: FLOAT?, stdDev :: FLOAT?, p25 :: FLOAT?, p50 :: FLOAT?, p75 :: FLOAT?, p90 :: FLOAT?, p95 :: FLOAT?, p99 :: FLOAT?, p999 :: FLOAT?, p100 :: FLOAT?)"
"[editor,publisher,architect,admin]",Pearson-similarity is an algorithm for finding similar nodes based on the pearson correlation coefficient.,WRITE,gds.alpha.similarity.pearson.stats,"gds.alpha.similarity.pearson.stats(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, sourceNodes :: INTEGER?, targetNodes :: INTEGER?, similarityPairs :: INTEGER?, computations :: INTEGER?, min :: FLOAT?, max :: FLOAT?, mean :: FLOAT?, stdDev :: FLOAT?, p25 :: FLOAT?, p50 :: FLOAT?, p75 :: FLOAT?, p90 :: FLOAT?, p95 :: FLOAT?, p99 :: FLOAT?, p999 :: FLOAT?, p100 :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Pearson-similarity is an algorithm for finding similar nodes based on the pearson correlation coefficient.,READ,gds.alpha.similarity.pearson.stream,"gds.alpha.similarity.pearson.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (item1 :: INTEGER?, item2 :: INTEGER?, count1 :: INTEGER?, count2 :: INTEGER?, intersection :: INTEGER?, similarity :: FLOAT?, bidirectional :: BOOLEAN?, reversed :: BOOLEAN?)"
"[editor,publisher,architect,admin]",Pearson-similarity is an algorithm for finding similar nodes based on the pearson correlation coefficient.,WRITE,gds.alpha.similarity.pearson.write,"gds.alpha.similarity.pearson.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, sourceNodes :: INTEGER?, targetNodes :: INTEGER?, similarityPairs :: INTEGER?, computations :: INTEGER?, writeRelationshipType :: STRING?, writeProperty :: STRING?, min :: FLOAT?, max :: FLOAT?, mean :: FLOAT?, stdDev :: FLOAT?, p25 :: FLOAT?, p50 :: FLOAT?, p75 :: FLOAT?, p90 :: FLOAT?, p95 :: FLOAT?, p99 :: FLOAT?, p999 :: FLOAT?, p100 :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The Speaker Listener Label Propagation algorithm is a fast algorithm for finding overlapping communities in a graph.,READ,gds.alpha.sllpa.mutate,"gds.alpha.sllpa.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (nodePropertiesWritten :: INTEGER?, ranIterations :: INTEGER?, didConverge :: BOOLEAN?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.alpha.sllpa.mutate.estimate,"gds.alpha.sllpa.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The Speaker Listener Label Propagation algorithm is a fast algorithm for finding overlapping communities in a graph.,READ,gds.alpha.sllpa.stats,"gds.alpha.sllpa.stats(graphName :: ANY?, configuration = {} :: MAP?) :: (ranIterations :: INTEGER?, didConverge :: BOOLEAN?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.alpha.sllpa.stats.estimate,"gds.alpha.sllpa.stats.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The Speaker Listener Label Propagation algorithm is a fast algorithm for finding overlapping communities in a graph.,READ,gds.alpha.sllpa.stream,"gds.alpha.sllpa.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, values :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.alpha.sllpa.stream.estimate,"gds.alpha.sllpa.stream.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]",The Speaker Listener Label Propagation algorithm is a fast algorithm for finding overlapping communities in a graph.,WRITE,gds.alpha.sllpa.write,"gds.alpha.sllpa.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodePropertiesWritten :: INTEGER?, ranIterations :: INTEGER?, didConverge :: BOOLEAN?, writeMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.alpha.sllpa.write.estimate,"gds.alpha.sllpa.write.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]","The maximum weight spanning tree (MST) starts from a given node, and finds all its reachable nodes and the set of relationships that connect the nodes together with the maximum possible weight.",WRITE,gds.alpha.spanningTree.kmax.write,"gds.alpha.spanningTree.kmax.write(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, effectiveNodeCount :: INTEGER?)"
"[editor,publisher,architect,admin]","The minimum weight spanning tree (MST) starts from a given node, and finds all its reachable nodes and the set of relationships that connect the nodes together with the minimum possible weight.",WRITE,gds.alpha.spanningTree.kmin.write,"gds.alpha.spanningTree.kmin.write(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, effectiveNodeCount :: INTEGER?)"
"[editor,publisher,architect,admin]","Maximum weight spanning tree visits all nodes that are in the same connected component as the starting node, and returns a spanning tree of all nodes in the component where the total weight of the relationships is maximized.",WRITE,gds.alpha.spanningTree.maximum.write,"gds.alpha.spanningTree.maximum.write(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, effectiveNodeCount :: INTEGER?)"
"[editor,publisher,architect,admin]","Minimum weight spanning tree visits all nodes that are in the same connected component as the starting node, and returns a spanning tree of all nodes in the component where the total weight of the relationships is minimized.",WRITE,gds.alpha.spanningTree.minimum.write,"gds.alpha.spanningTree.minimum.write(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, effectiveNodeCount :: INTEGER?)"
"[editor,publisher,architect,admin]","Minimum weight spanning tree visits all nodes that are in the same connected component as the starting node, and returns a spanning tree of all nodes in the component where the total weight of the relationships is minimized.",WRITE,gds.alpha.spanningTree.write,"gds.alpha.spanningTree.write(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, effectiveNodeCount :: INTEGER?)"
"[reader,editor,publisher,architect,admin]",Triangles streams the nodeIds of each triangle in the graph.,READ,gds.alpha.triangles,"gds.alpha.triangles(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeA :: INTEGER?, nodeB :: INTEGER?, nodeC :: INTEGER?)"
